,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides C1,Peptides C2,Peptides C3,Peptides E1_24,Peptides E1_48,Peptides E2_24,Peptides E2_48,Peptides E3_24,Peptides E3_48,Razor + unique peptides C1,Razor + unique peptides C2,Razor + unique peptides C3,Razor + unique peptides E1_24,Razor + unique peptides E1_48,Razor + unique peptides E2_24,Razor + unique peptides E2_48,Razor + unique peptides E3_24,Razor + unique peptides E3_48,Unique peptides C1,Unique peptides C2,Unique peptides C3,Unique peptides E1_24,Unique peptides E1_48,Unique peptides E2_24,Unique peptides E2_48,Unique peptides E3_24,Unique peptides E3_48,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Sequence coverage C1 [%],Sequence coverage C2 [%],Sequence coverage C3 [%],Sequence coverage E1_24 [%],Sequence coverage E1_48 [%],Sequence coverage E2_24 [%],Sequence coverage E2_48 [%],Sequence coverage E3_24 [%],Sequence coverage E3_48 [%],Intensity,Intensity C1,Intensity C2,Intensity C3,Intensity E1_24,Intensity E1_48,Intensity E2_24,Intensity E2_48,Intensity E3_24,Intensity E3_48,iBAQ peptides,iBAQ,iBAQ C1,iBAQ C2,iBAQ C3,iBAQ E1_24,iBAQ E1_48,iBAQ E2_24,iBAQ E2_48,iBAQ E3_24,iBAQ E3_48,LFQ intensity C1,LFQ intensity C2,LFQ intensity C3,LFQ intensity E1_24,LFQ intensity E1_48,LFQ intensity E2_24,LFQ intensity E2_48,LFQ intensity E3_24,LFQ intensity E3_48,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count E1_24,MS/MS count E1_48,MS/MS count E2_24,MS/MS count E2_48,MS/MS count E3_24,MS/MS count E3_48,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (NQ) site IDs,Dioxidation (MW) site IDs,Oxidation (M) site IDs,Deamidation (NQ) site positions,Dioxidation (MW) site positions,Oxidation (M) site positions,Taxonomy IDs,unique_int,Gene_id,desc,E1_24,E2_24,E3_24,E1_48,E2_48,E3_48,mean,exp_rank
2180,tr|E9Q9C3|E9Q9C3_MOUSE;sp|Q9QZQ1|AFAD_MOUSE;tr|E9PYX7|E9PYX7_MOUSE,tr|E9Q9C3|E9Q9C3_MOUSE;sp|Q9QZQ1|AFAD_MOUSE;tr|E9PYX7|E9PYX7_MOUSE,34;33;28,34;33;28,3;2;2,tr|E9Q9C3|E9Q9C3_MOUSE Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=1;sp|Q9QZQ1|AFAD_MOUSE Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=3;tr|E9PYX7|E9PYX7_MOUSE Afadin OS=Mus musculus OX=10090 GN=Afdn PE=1 SV=1,3,34,34,3,1,0,0,18,25,26,20,11,2,1,0,0,18,25,26,20,11,2,0,0,0,2,3,1,1,1,0,23.2,23.2,1.6,207.31,1827,1827;1820;1663,0.0,110.89,1.0,0.0,0.0,12.8,17.2,18.6,14.0,9.5,1.5,497610000,0,0,0,48090000,114820000,165650000,142230000,26029000,801560,92,5408800.0,0.0,0.0,0.0,522710.0,1248000.0,1800500.0,1546000.0,282920.0,8712.7,0,0,0,57063000,70722000,58190000,55990000,26899000,0,0,0,0,18,26,25,20,12,1,102,,,,2180,1715;2340;2599;2654;2655;3560;4050;4848;5894;6105;6516;6772;6798;6986;7009;7196;7197;7628;8072;8101;9099;9880;10085;10285;10304;10804;11553;11572;11754;11896;12696;12789;14471;14999,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1853;2522;2794;2854;2855;3841;4358;5224;6377;6626;7062;7341;7368;7577;7605;7804;7805;8269;8750;8779;9991;10897;11193;11465;11491;12086;12902;12925;13129;13278;14156;14257;16086;16649,9261;12258;12259;12260;13549;13550;13551;13552;13553;13554;13834;13835;13836;13837;13838;13839;18631;18632;18633;18634;21331;21332;25721;25722;25723;25724;32386;32387;33659;33660;33661;33662;33663;35770;35771;37225;37339;38537;38538;38539;38540;38541;38691;38692;39550;39551;39552;39553;39554;39555;41995;41996;41997;41998;44322;44323;44324;44325;44452;44453;50589;50590;55562;55563;55564;55565;56915;58045;58136;58137;58138;60846;64567;64568;64569;64570;64700;64701;64702;65637;65638;65639;65640;65641;66401;66402;66403;66404;71309;71310;71311;71312;71313;71314;71778;71779;71780;71781;81170;81171;81172;84212;84213;84214;84215;84216,10271;13523;13524;13525;14918;14919;14920;14921;14922;14923;15214;15215;15216;15217;15218;15219;15220;20555;20556;20557;20558;23543;23544;28310;28311;28312;28313;36183;36184;37573;37574;37575;37576;37577;39808;39809;41345;41467;42738;42739;42740;42741;42742;42743;42744;42918;42919;43868;43869;43870;43871;43872;43873;46627;46628;46629;46630;49269;49270;49271;49272;49401;49402;56269;56270;62583;62584;62585;62586;64024;65228;65331;65332;65333;68264;72317;72318;72319;72320;72475;72476;72477;73462;73463;73464;73465;73466;74259;74260;74261;74262;79970;79971;79972;79973;79974;79975;80490;80491;80492;80493;80494;90868;90869;90870;94614;94615;94616;94617;94618,10271;13525;14923;15215;15217;20555;23543;28311;36183;37576;39809;41345;41467;42739;42918;43869;43873;46627;49271;49401;56269;62583;64024;65228;65331;68264;72319;72477;73466;74261;79975;80493;90869;94617,,,,,,,-1;-1;-1,3,tr|E9Q9C3|E9Q9C3_MOUSE,tr|E9Q9C3|E9Q9C3_MOUSE Afadin,522710.0,1800500.0,282920.0,1248000.0,1546000.0,8712.7,901473.7833333333,23.0
1893,sp|Q9ERB0|SNP29_MOUSE,sp|Q9ERB0|SNP29_MOUSE,7,7,7,sp|Q9ERB0|SNP29_MOUSE Synaptosomal-associated protein 29 OS=Mus musculus OX=10090 GN=Snap29 PE=1 SV=1,1,7,7,7,0,0,0,3,4,5,1,0,0,0,0,0,3,4,5,1,0,0,0,0,0,3,4,5,1,0,0,38.8,38.8,38.8,29.572,260,260,0.0,11.054,0.0,0.0,0.0,18.1,22.3,26.9,6.2,0.0,0.0,48893000,0,0,0,7794300,13932000,23965000,3201300,0,0,14,3492400.0,0.0,0.0,0.0,556730.0,995160.0,1711800.0,228660.0,0.0,0.0,0,0,0,0,12019000,7351800,0,0,0,0,0,0,3,5,5,1,0,0,14,,,,1893,1700;5219;5392;8028;12159;13236;14877,True;True;True;True;True;True;True,1837;5636;5819;8700;13562;14734;16517,9195;28026;28027;28028;28029;28949;44068;44069;68131;74164;74165;83580;83581;83582,10204;30924;30925;30926;30927;31966;49004;49005;76242;83057;83058;93934;93935;93936,10204;30926;31966;49004;76242;83058;93936,,,,,,,-1,7,sp|Q9ERB0|SNP29_MOUSE,Synaptosomal-associated protein 29,556730.0,1711800.0,0.0,995160.0,228660.0,0.0,873087.5,24.0
1381,sp|Q8CIB5|FERM2_MOUSE;tr|A6X941|A6X941_MOUSE;tr|A6X940|A6X940_MOUSE,sp|Q8CIB5|FERM2_MOUSE,12;5;2,12;5;2,12;5;2,sp|Q8CIB5|FERM2_MOUSE Fermitin family homolog 2 OS=Mus musculus OX=10090 GN=Fermt2 PE=1 SV=1,3,12,12,12,0,0,0,7,8,10,10,4,1,0,0,0,7,8,10,10,4,1,0,0,0,7,8,10,10,4,1,24.6,24.6,24.6,77.8,680,680;180;258,0.0,29.63,0.0,0.0,0.0,15.4,17.9,21.0,20.9,7.6,2.5,193430000,0,0,0,16099000,32658000,64734000,69497000,8672100,1768500,37,5227800.0,0.0,0.0,0.0,435110.0,882640.0,1749600.0,1878300.0,234380.0,47797.0,0,0,0,16869000,26237000,20347000,25219000,9196000,0,0,0,0,8,10,12,13,4,1,48,,,,1381,539;4943;5567;5720;6441;8702;8788;9102;11506;11820;12683;15030,True;True;True;True;True;True;True;True;True;True;True;True,581;5332;6013;6186;6986;9439;9554;9994;12852;13198;14140;16682,2855;26372;26373;30117;30118;30119;30120;30121;30122;30971;30972;30973;30974;30975;35439;35440;35441;35442;47980;47981;47982;48532;48533;50599;50600;50601;64364;64365;66014;66015;66016;66017;66018;66019;66020;66021;66022;71205;71206;71207;71208;71209;84369;84370;84371,3310;29098;29099;33304;33305;33306;33307;33308;33309;33310;34294;34295;34296;34297;34298;39467;39468;39469;39470;39471;39472;53388;53389;53390;54011;54012;56279;56280;56281;72100;72101;73852;73853;73854;73855;73856;73857;73858;73859;73860;79860;79861;79862;79863;79864;94809;94810;94811,3310;29098;33304;34294;39470;53390;54012;56279;72101;73853;79860;94809,,,,,,,-1;-1;-1,12,sp|Q8CIB5|FERM2_MOUSE,Fermitin family homolog 2,435110.0,1749600.0,234380.0,882640.0,1878300.0,47797.0,871304.5,25.0
1427,sp|Q8K2J7|RELL1_MOUSE,sp|Q8K2J7|RELL1_MOUSE,3,3,3,sp|Q8K2J7|RELL1_MOUSE RELT-like protein 1 OS=Mus musculus OX=10090 GN=Rell1 PE=2 SV=2,1,3,3,3,0,0,0,1,3,3,1,0,0,0,0,0,1,3,3,1,0,0,0,0,0,1,3,3,1,0,0,15.8,15.8,15.8,29.351,272,272,0.0,4.4593,0.0,0.0,0.0,3.3,15.8,15.8,3.3,0.0,0.0,20409000,0,0,0,732230,5168600,7715000,6792900,0,0,6,3401500.0,0.0,0.0,0.0,122040.0,861430.0,1285800.0,1132200.0,0.0,0.0,0,0,0,0,3852800,0,0,0,0,0,0,0,1,2,2,1,0,0,6,,,,1427,10785;11507;14460,True;True;True,12064;12853;16075,60761;60762;64366;64367;81090;81091;81092;81093,68173;68174;72102;72103;90786;90787;90788;90789,68174;72102;90788,,,,,,,-1,3,sp|Q8K2J7|RELL1_MOUSE,RELT-like protein 1,122040.0,1285800.0,0.0,861430.0,1132200.0,0.0,850367.5,26.0
276,sp|P09411|PGK1_MOUSE;tr|S4R2M7|S4R2M7_MOUSE;sp|P09041|PGK2_MOUSE,sp|P09411|PGK1_MOUSE;tr|S4R2M7|S4R2M7_MOUSE,10;6;2,10;6;2,10;6;2,sp|P09411|PGK1_MOUSE Phosphoglycerate kinase 1 OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=4;tr|S4R2M7|S4R2M7_MOUSE Phosphoglycerate kinase OS=Mus musculus OX=10090 GN=Pgk1 PE=1 SV=1,3,10,10,10,0,0,0,6,0,3,4,0,3,0,0,0,6,0,3,4,0,3,0,0,0,6,0,3,4,0,3,32.9,32.9,32.9,44.55,417,417;255;417,0.0,15.085999999999999,0.0,0.0,0.0,19.7,0.0,8.4,18.2,0.0,12.0,81946000,0,0,0,15318000,0,17752000,31531000,0,17345000,26,3151800.0,0.0,0.0,0.0,589150.0,0.0,682760.0,1212700.0,0.0,667120.0,0,0,0,11352000,0,12053000,11831000,0,10429000,0,0,0,6,0,3,5,0,3,17,,,,276,389;475;620;6024;7239;11504;12120;13775;14108;14943,True;True;True;True;True;True;True;True;True;True,419;511;670;6534;7850;12850;13518;15330;15692;16589,2026;2501;2502;3302;33251;33252;39778;39779;39780;39781;64362;67884;67885;77414;79006;83933,2391;2891;2892;3782;37112;37113;44110;44111;44112;44113;44114;72098;75974;75975;86605;88269;94315,2391;2892;3782;37112;44110;72098;75975;86605;88269;94315,,,,,,,-1;-1;-1,10,sp|P09411|PGK1_MOUSE,Phosphoglycerate kinase 1,589150.0,682760.0,0.0,0.0,1212700.0,667120.0,787932.5,27.0
1606,tr|A0A338P6B4|A0A338P6B4_MOUSE;tr|A0A338P6I2|A0A338P6I2_MOUSE;sp|Q923G2|RPAB3_MOUSE,tr|A0A338P6B4|A0A338P6B4_MOUSE;tr|A0A338P6I2|A0A338P6I2_MOUSE;sp|Q923G2|RPAB3_MOUSE,2;2;2,2;2;2,2;2;2,"tr|A0A338P6B4|A0A338P6B4_MOUSE DNA-directed RNA polymerases I, II, and III subunit RPABC3 (Fragment) OS=Mus musculus OX=10090 GN=Polr2h PE=1 SV=1;tr|A0A338P6I2|A0A338P6I2_MOUSE DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus OX=1",3,2,2,2,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,37.0,37.0,37.0,12.239,108,108;143;150,0.0,6.2482,0.0,0.0,0.0,25.0,12.0,12.0,0.0,12.0,12.0,22116000,0,0,0,3156800,427100,12158000,0,707860,5666800,6,3686000.0,0.0,0.0,0.0,526130.0,71183.0,2026300.0,0.0,117980.0,944460.0,0,0,0,3156800,0,0,0,0,0,0,0,0,1,1,1,0,1,2,6,,,,1606,5249;8518,True;True,5668;9231,28164;28165;28166;28167;46873,31075;31076;31077;31078;31079;52131,31077;52131,,,,,,,-1;-1;-1,2,tr|A0A338P6B4|A0A338P6B4_MOUSE,none,526130.0,2026300.0,117980.0,71183.0,0.0,944460.0,737210.6,28.0
957,sp|Q62371|DDR2_MOUSE;sp|Q03146|DDR1_MOUSE,sp|Q62371|DDR2_MOUSE,10;1,10;1,10;1,sp|Q62371|DDR2_MOUSE Discoidin domain-containing receptor 2 OS=Mus musculus OX=10090 GN=Ddr2 PE=1 SV=2,2,10,10,10,0,0,0,9,9,5,4,5,1,0,0,0,9,9,5,4,5,1,0,0,0,9,9,5,4,5,1,13.3,13.3,13.3,96.48100000000001,854,854;911,0.0,25.445,0.0,0.0,0.0,11.6,11.8,8.3,5.9,8.3,1.8,149430000,0,0,0,25608000,51916000,30738000,21049000,19002000,1117400,34,4395000.0,0.0,0.0,0.0,753190.0,1526900.0,904050.0,619100.0,558890.0,32864.0,0,0,0,21009000,27788000,15167000,13956000,18289000,0,0,0,0,8,11,5,4,5,1,34,,,,957,142;1596;1953;3237;3338;4994;5100;9445;11923;14819,True;True;True;True;True;True;True;True;True;True,147;1731;2108;3485;3596;3597;5389;5510;10395;13307;16455,601;8668;8669;10412;10413;16908;16909;16910;16911;17372;17373;17374;26700;26701;26702;26703;26704;27451;27452;27453;27454;27455;53085;53086;53087;53088;53089;66547;66548;66549;66550;66551;83275;83276;83277,655;9658;9659;11509;11510;18670;18671;18672;18673;19176;19177;19178;29477;29478;29479;29480;29481;30297;30298;30299;30300;30301;59856;59857;59858;59859;59860;74410;74411;74412;74413;74414;93597;93598;93599,655;9659;11510;18670;19178;29479;30301;59856;74413;93597,,,436,,,697,-1;-1,10,sp|Q62371|DDR2_MOUSE,Discoidin domain-containing receptor 2,753190.0,904050.0,558890.0,1526900.0,619100.0,32864.0,732499.0,29.0
1377,sp|Q8CHH9|SEPT8_MOUSE;tr|B7ZC46|B7ZC46_MOUSE;tr|B1AQY9|B1AQY9_MOUSE;tr|B1AQZ0|B1AQZ0_MOUSE;tr|E0CYM4|E0CYM4_MOUSE,sp|Q8CHH9|SEPT8_MOUSE;tr|B7ZC46|B7ZC46_MOUSE;tr|B1AQY9|B1AQY9_MOUSE;tr|B1AQZ0|B1AQZ0_MOUSE,6;6;6;6;1,4;4;4;4;1,4;4;4;4;1,sp|Q8CHH9|SEPT8_MOUSE Septin-8 OS=Mus musculus OX=10090 GN=Septin8 PE=1 SV=4;tr|B7ZC46|B7ZC46_MOUSE Septin-8 OS=Mus musculus OX=10090 GN=Septin8 PE=1 SV=1;tr|B1AQY9|B1AQY9_MOUSE Septin-8 OS=Mus musculus OX=10090 GN=Septin8 PE=1 SV=1;tr|B1AQZ0|B1AQZ0_MOUSE ,5,6,4,4,0,0,0,2,6,4,6,3,1,0,0,0,1,4,2,4,1,0,0,0,0,1,4,2,4,1,0,17.9,14.5,14.5,49.812,429,429;440;442;484;51,0.0,13.913,0.0,0.0,0.0,3.7,17.9,9.3,17.9,7.2,1.6,55038000,0,0,0,0,19539000,11587000,22151000,1760900,0,19,2896700.0,0.0,0.0,0.0,0.0,1028400.0,609820.0,1165900.0,92678.0,0.0,0,0,0,0,9020400,8788800,9923100,0,0,0,0,0,1,4,2,3,1,0,11,,,,1377,6178;8213;8414;11423;13619;13898,True;True;True;False;True;False,6705;8905;9117;12767;15157;15461,34034;34035;45124;45125;45126;45127;45128;46232;46233;63907;63908;63909;63910;76496;76497;76498;76499;77952;77953;77954;77955;77956;77957,37985;37986;50221;50222;50223;50224;50225;51459;51460;71620;71621;71622;71623;85656;85657;85658;85659;87157;87158;87159;87160;87161;87162;87163;87164,37986;50224;51459;71620;85657;87162,,,,,,,-1;-1;-1;-1;-1,4,sp|Q8CHH9|SEPT8_MOUSE,Septin-8,0.0,609820.0,92678.0,1028400.0,1165900.0,0.0,724199.5,30.0
1555,sp|Q91WL8|WWOX_MOUSE,sp|Q91WL8|WWOX_MOUSE,10,10,10,sp|Q91WL8|WWOX_MOUSE WW domain-containing oxidoreductase OS=Mus musculus OX=10090 GN=Wwox PE=1 SV=1,1,10,10,10,0,0,0,0,2,7,7,2,0,0,0,0,0,2,7,7,2,0,0,0,0,0,2,7,7,2,0,31.4,31.4,31.4,46.512,414,414,0.0,27.069000000000003,0.0,0.0,0.0,0.0,6.5,16.7,24.9,6.5,0.0,65035000,0,0,0,0,4818100,26214000,30871000,3132300,0,23,2827600.0,0.0,0.0,0.0,0.0,209480.0,1139700.0,1342200.0,136190.0,0.0,0,0,0,0,6664100,7082600,10025000,3921600,0,0,0,0,0,3,8,7,2,0,20,,,,1555,560;738;3524;4630;5569;7654;12096;13118;13598;14316,True;True;True;True;True;True;True;True;True;True,606;797;3803;4984;6015;8295;13491;14607;15134;15921,2985;3948;3949;18458;24487;30124;42136;42137;67742;73498;76406;76407;76408;76409;76410;76411;80255;80256;80257;80258,3446;4528;4529;20372;20373;26939;33312;46769;46770;75829;82350;85555;85556;85557;85558;85559;85560;89615;89616;89617;89618,3446;4529;20373;26939;33312;46770;75829;82350;85560;89618,,,,,,,-1,10,sp|Q91WL8|WWOX_MOUSE,WW domain-containing oxidoreductase,0.0,1139700.0,136190.0,209480.0,1342200.0,0.0,706892.5,31.0
1771,tr|D3YUT3|D3YUT3_MOUSE;tr|D3YUG3|D3YUG3_MOUSE;sp|Q9CZX8|RS19_MOUSE;tr|D3Z5R8|D3Z5R8_MOUSE;tr|D3Z722|D3Z722_MOUSE;tr|S4R223|S4R223_MOUSE,tr|D3YUT3|D3YUT3_MOUSE;tr|D3YUG3|D3YUG3_MOUSE;sp|Q9CZX8|RS19_MOUSE;tr|D3Z5R8|D3Z5R8_MOUSE;tr|D3Z722|D3Z722_MOUSE;tr|S4R223|S4R223_MOUSE,4;4;4;4;4;3,4;4;4;4;4;3,4;4;4;4;4;3,tr|D3YUT3|D3YUT3_MOUSE 40S ribosomal protein S19 (Fragment) OS=Mus musculus OX=10090 GN=Rps19 PE=1 SV=2;tr|D3YUG3|D3YUG3_MOUSE 40S ribosomal protein S19 (Fragment) OS=Mus musculus OX=10090 GN=Rps19 PE=1 SV=8;sp|Q9CZX8|RS19_MOUSE 40S ribosomal protein S19 O,6,4,4,4,0,0,0,3,1,2,1,0,0,0,0,0,3,1,2,1,0,0,0,0,0,3,1,2,1,0,0,25.6,25.6,25.6,14.895999999999999,133,133;137;145;176;212;72,0.0,3.7069,0.0,0.0,0.0,18.8,5.3,12.0,5.3,0.0,0.0,21133000,0,0,0,5260300,1168200,13042000,1661700,0,0,8,2641600.0,0.0,0.0,0.0,657540.0,146030.0,1630300.0,207710.0,0.0,0.0,0,0,0,5260300,0,0,0,0,0,0,0,0,3,1,2,1,0,0,7,,,,1771,564;1990;13783;13948,True;True;True;True,610;2149;15338;15520,3003;3004;3005;3006;10627;77431;78242,3465;3466;3467;3468;11747;86622;87462,3467;11747;86622;87462,,,,,,,-1;-1;-1;-1;-1;-1,4,tr|D3YUT3|D3YUT3_MOUSE,tr|D3YUT3|D3YUT3_MOUSE 40S ribosomal protein S19 (Fragment),657540.0,1630300.0,0.0,146030.0,207710.0,0.0,660395.0,32.0
2183,tr|E9QM38|E9QM38_MOUSE;sp|P55012|S12A2_MOUSE,tr|E9QM38|E9QM38_MOUSE;sp|P55012|S12A2_MOUSE,15;14,15;14,15;14,tr|E9QM38|E9QM38_MOUSE Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=1;sp|P55012|S12A2_MOUSE Solute carrier family 12 member 2 OS=Mus musculus OX=10090 GN=Slc12a2 PE=1 SV=2,2,15,15,15,0,0,0,8,9,9,6,2,1,0,0,0,8,9,9,6,2,1,0,0,0,8,9,9,6,2,1,20.6,20.6,20.6,130.67,1206,1206;1205,0.0,27.353,0.0,0.0,0.0,11.1,13.6,12.6,8.1,1.8,1.1,166390000,0,0,0,28921000,48537000,61008000,26201000,0,1720900,51,3262500.0,0.0,0.0,0.0,567070.0,951710.0,1196200.0,513740.0,0.0,33744.0,0,0,0,23984000,31866000,24959000,16173000,0,0,0,0,0,9,10,9,7,2,1,38,,,,2183,0;358;913;1390;1479;1708;3436;3805;4251;4318;6273;7355;7513;7613;11360,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,0;386;998;1507;1608;1845;3702;4103;4572;4648;6806;7973;8148;8254;12700,0;1;1874;4959;7500;7501;7502;7503;8054;8055;8056;9221;9222;17916;19967;19968;19969;19970;22398;22759;22760;22761;34480;34481;34482;40521;40522;40523;40524;41424;41425;41952;41953;41954;41955;63620;63621,0;1;2232;5619;8372;8373;8374;8375;8991;8992;8993;8994;10230;10231;19789;22097;22098;22099;22100;22101;24692;25070;25071;25072;38453;38454;38455;44992;44993;44994;44995;46012;46013;46584;46585;46586;46587;71327;71328,0;2232;5619;8373;8994;10231;19789;22098;24692;25070;38455;44993;46013;46587;71328,,,,,,,-1;-1,15,tr|E9QM38|E9QM38_MOUSE,tr|E9QM38|E9QM38_MOUSE Solute carrier family 12 member 2,567070.0,1196200.0,0.0,951710.0,513740.0,33744.0,652492.8,33.0
273,sp|P09055|ITB1_MOUSE,sp|P09055|ITB1_MOUSE,7,7,7,sp|P09055|ITB1_MOUSE Integrin beta-1 OS=Mus musculus OX=10090 GN=Itgb1 PE=1 SV=1,1,7,7,7,0,0,0,5,5,3,2,0,0,0,0,0,5,5,3,2,0,0,0,0,0,5,5,3,2,0,0,9.4,9.4,9.4,88.23100000000001,798,798,0.0,14.658,0.0,0.0,0.0,5.1,7.3,5.0,3.5,0.0,0.0,79015000,0,0,0,12821000,15045000,28088000,23063000,0,0,34,2324000.0,0.0,0.0,0.0,377070.0,442490.0,826100.0,678310.0,0.0,0.0,0,0,0,11349000,12132000,9172100,11099000,0,0,0,0,0,5,5,3,1,0,0,14,,,,273,3786;7791;8208;9669;9670;11462;14435,True;True;True;True;True;True;True,4081;8439;8900;10659;10660;12807;16046,19868;19869;19870;42827;45088;45089;54486;54487;54488;64116;64117;64118;64119;80849;80850,21987;21988;21989;47627;50183;50184;61429;61430;61431;71836;71837;71838;71839;90260;90261,21987;47627;50183;61429;61431;71839;90260,,,,,,,-1,7,sp|P09055|ITB1_MOUSE,Integrin beta-1,377070.0,826100.0,0.0,442490.0,678310.0,0.0,580992.5,34.0
1641,tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE;sp|Q99KW3|TARA_MOUSE;tr|G5E8W1|G5E8W1_MOUSE;tr|A0A2R8VI29|A0A2R8VI29_MOUSE;tr|J9JI90|J9JI90_MOUSE,tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE;sp|Q99KW3|TARA_MOUSE,15;15;7;3;1,15;15;7;3;1,14;14;6;2;0,tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE TRIO and F-actin-binding protein OS=Mus musculus OX=10090 GN=Triobp PE=1 SV=1;sp|Q99KW3|TARA_MOUSE TRIO and F-actin-binding protein OS=Mus musculus OX=10090 GN=Triobp PE=1 SV=3,5,15,15,14,0,0,0,5,12,7,10,2,3,0,0,0,5,12,7,10,2,3,0,0,0,5,12,7,9,2,3,27.1,27.1,25.7,71.684,627,627;2014;402;248;98,0.0,26.618000000000002,0.0,0.0,0.0,8.5,23.8,15.9,21.5,3.5,5.7,118140000,0,0,0,5761800,29213000,32869000,44126000,3352100,2814800,37,3192900.0,0.0,0.0,0.0,155720.0,789550.0,888340.0,1192600.0,90597.0,76076.0,0,0,0,5031500,21221000,12772000,18542000,2011700,1782800,0,0,0,5,13,7,10,2,3,40,,,,1641,1310;4938;6182;6684;6873;9706;9946;10594;10862;11409;11524;11525;12007;13030;13618,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1421;5327;6709;7243;7452;10700;10989;11855;12151;12753;12871;12872;13396;14511;15156,7002;7003;7004;7005;7006;26354;26355;34044;34045;34046;36661;37714;54645;55928;59708;59709;59710;61128;63841;63842;63843;63844;63845;64437;64438;64439;64440;64441;64442;67182;67183;67184;67185;73022;73023;73024;73025;73026;76495,7812;7813;7814;7815;7816;29080;29081;37995;37996;37997;40747;41854;61609;62977;67044;67045;67046;67047;68584;71554;71555;71556;71557;71558;72177;72178;72179;72180;72181;72182;75242;75243;75244;75245;81840;81841;81842;81843;81844;85655,7814;29081;37997;40747;41854;61609;62977;67047;68584;71556;72178;72182;75242;81843;85655,,,,,,,-1;-1;-1;-1;-1,14,tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE,tr|A0A2U3TZ82|A0A2U3TZ82_MOUSE TRIO and F-actin-binding protein,155720.0,888340.0,90597.0,789550.0,1192600.0,76076.0,532147.1666666666,35.0
929,sp|Q61768|KINH_MOUSE;tr|E9QAK5|E9QAK5_MOUSE,sp|Q61768|KINH_MOUSE,20;9,20;9,17;7,sp|Q61768|KINH_MOUSE Kinesin-1 heavy chain OS=Mus musculus OX=10090 GN=Kif5b PE=1 SV=3,2,20,20,17,0,0,0,2,8,10,18,1,4,0,0,0,2,8,10,18,1,4,0,0,0,2,8,9,15,1,4,27.1,27.1,23.6,109.55,963,963;619,0.0,166.85,0.0,0.0,0.0,4.7,12.1,15.0,24.4,1.1,5.3,191390000,0,0,0,3020400,20701000,48734000,111040000,3503600,4396000,60,3189800.0,0.0,0.0,0.0,50340.0,345020.0,812230.0,1850600.0,58393.0,73266.0,0,0,0,0,9565700,22153000,44689000,0,4344500,0,0,0,2,7,8,18,1,3,39,,,,929,30;797;3443;3444;3926;4130;5853;5898;6483;7208;7482;8015;9781;9899;10109;10125;10906;11543;12404;12809,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,31;876;3709;3710;4226;4441;6334;6381;7029;7816;8115;8687;10778;10921;10922;11222;11243;12197;12890;13837;14277,128;129;4318;4319;4320;4321;17942;17943;17944;17945;20537;20538;21768;21769;32135;32401;35633;39616;39617;39618;41270;41271;41272;41273;41274;41275;44020;44021;44022;54990;55640;55641;55642;55643;55644;55645;55646;55647;56998;56999;57103;57104;61323;61324;61325;64486;69511;69512;71872,146;147;4947;4948;4949;4950;19815;19816;19817;19818;22689;22690;24006;24007;35867;36202;39666;43940;43941;43942;45853;45854;45855;45856;45857;45858;48955;48956;48957;61975;62664;62665;62666;62667;62668;62669;62670;62671;64109;64110;64215;64216;68819;68820;68821;72227;77800;77801;80590,147;4949;19815;19816;22689;24007;35867;36202;39666;43940;45857;48955;61975;62670;64109;64215;68820;72227;77801;80590,,,,,,,-1;-1,17,sp|Q61768|KINH_MOUSE,Kinesin-1 heavy chain,50340.0,812230.0,58393.0,345020.0,1850600.0,73266.0,531641.5,36.0
